Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
36,Saurabh Kumar ,"20,00,000",All-Rounder , Punjab Kings,2a6afc6f,Saurabh Kumar,fuzzy_string_matching
37,Utkarsh Singh ,"20,00,000",All-Rounder , Punjab Kings,b2a55ac1,Utkarsh Singh,exact_match
38,Christopher Morris ,"16,25,00,000",All-Rounder , Rajasthan Royals,UNRESOLVED,Christopher Morris,unresolved
39,Shivam Dube ,"4,40,00,000",All-Rounder , Rajasthan Royals,a4e37e47,S Dube,surname_initials_matching
40,Chetan Sakariya ,"1,20,00,000",Bowler , Rajasthan Royals,2cdce1be,C Sakariya,surname_initials_matching
41,Mustafizur Rahman ,"1,00,00,000",Bowler , Rajasthan Royals,0a8fce53,Mustafizur Rahman,exact_match
42,Liam Livingstone ,"75,00,000",All-Rounder , Rajasthan Royals,50c6bc2b,LS Livingstone,fuzzy_string_matching
43,K.C Cariappa ,"20,00,000",Bowler , Rajasthan Royals,edb3d4f8,KC Cariappa,fuzzy_string_matching
44,Akash Singh ,"20,00,000",Bowler, Rajasthan Royals,b483905d,Akash Singh,exact_match
45,Kuldip Yadav ," 20,00,000", Bowler , Rajasthan Royals,8d2c70ad,Kuldeep Yadav,fuzzy_string_matching
46,Kyle Jamieson ,"15,00,00,000",All-Rounder , Royal Challengers Bengaluru,68c56d09,KA Jamieson,fuzzy_string_matching
47,Glenn Maxwell ,"14,25,00,000",All-Rounder , Royal Challengers Bengaluru,b681e71e,GJ Maxwell,surname_initials_matching
48,Dan Christian ,"4,80,00,000",All-Rounder , Royal Challengers Bengaluru,3b1fa4cb,DO Christian,fuzzy_string_matching
49,Sachin Baby ,"20,00,000",Batsman , Royal Challengers Bengaluru,dc9dd038,Sachin Baby,exact_match
50,Rajat Patidar ,"20,00,000",Batsman , Royal Challengers Bengaluru,c740ea83,RM Patidar,surname_initials_matching
51,Mohammed Azharudeen ,"20,00,000",Wicket Keeper , Royal Challengers Bengaluru,4ae89f36,Mohammed Azharuddeen,fuzzy_string_matching
52,Suyash Prabhudesai ,"20,00,000",All-Rounder , Royal Challengers Bengaluru,9385de2e,SS Prabhudessai,fuzzy_string_matching
53,Kona Srikar Bharat ," 20,00,000", Wicket Keeper, Royal Challengers Bengaluru,44a89551,KS Bharat,surname_initials_matching
54,Kedar Jadhav ,"2,00,00,000",All-Rounder , Sunrisers Hyderabad,6c18c062,KA Jadhav,fuzzy_string_matching
55,Mujeeb Zadran ,"1,50,00,000",Bowler , Sunrisers Hyderabad,UNRESOLVED,Mujeeb Zadran,unresolved
56,J Suchith ,"30,00,000",Bowler , Sunrisers Hyderabad,4125d931,J Suchith,exact_match
