Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Krishnappa Gowtham,"9,25,00,000",All-Rounder, Chennai Super Kings,90de905a,K Gowtham,surname_initials_matching
1,Moeen Ali,"7,00,00,000",All-Rounder, Chennai Super Kings,UNRESOLVED,Moeen Ali,unresolved
2,Cheteshwar Pujara,"50,00,000",Batsman, Chennai Super Kings,d4f9dbd4,CA Pujara,surname_initials_matching
3,K.Bhagath Varma,"20,00,000",All-Rounder, Chennai Super Kings,5438ffba,K Bhagath Varma,fuzzy_string_matching
4,C Hari Nishaanth,"20,00,000",Batsman, Chennai Super Kings,c3f37533,Hari Nishaanth,fuzzy_string_matching
5,M. Harisankar Reddy,"20,00,000",Bowler, Chennai Super Kings,791c088d,Harishankar Reddy,fuzzy_string_matching
6,Tom Curran ,"5,25,00,000",All-Rounder , Delhi Capitals,e86754b2,TK Curran,fuzzy_string_matching
7,Steven Smith ,"2,20,00,000",Batsman , Delhi Capitals,UNRESOLVED,Steven Smith,unresolved
8,Sam Billings ,"2,00,00,000",Wicket Keeper , Delhi Capitals,c16d4035,SW Billings,fuzzy_string_matching
9,Umesh Yadav ,"1,00,00,000",Bowler , Delhi Capitals,UNRESOLVED,Umesh Yadav,unresolved
10,Ripal Patel ,"20,00,000",All-Rounder , Delhi Capitals,b5da6c24,PA Patel,fuzzy_string_matching
11,Vishnu Vinod ,"20,00,000",Wicket Keeper , Delhi Capitals,0494fa6e,Vishnu Vinod,exact_match
12,Lukman Hussain Meriwala ,"20,00,000",Bowler , Delhi Capitals,d3611425,LI Meriwala,surname_initials_matching
13,M Siddharth ,"20,00,000",Bowler , Delhi Capitals,cf0ccafa,M Siddharth,exact_match
14,Shakib Al Hasan ,"3,20,00,000",All-Rounder , Kolkata Knight Riders,7dc35884,Shakib Al Hasan,exact_match
15,Harbhajan Singh ,"2,00,00,000",Bowler , Kolkata Knight Riders,8b5b6769,Harbhajan Singh,exact_match
16,Ben Cutting ,"75,00,000",All-Rounder , Kolkata Knight Riders,2e11c706,BCJ Cutting,fuzzy_string_matching
17,Karun Nair ,"50,00,000",Batsman , Kolkata Knight Riders,06907633,AR Nair,fuzzy_string_matching
18,Pawan Negi ,"50,00,000",All-Rounder , Kolkata Knight Riders,f62772e5,P Negi,surname_initials_matching
19,Venkatesh Iyer ,"20,00,000",All-Rounder , Kolkata Knight Riders,UNRESOLVED,Venkatesh Iyer,unresolved
20,Sheldon Jackson ,"20,00,000",Wicket Keeper , Kolkata Knight Riders,UNRESOLVED,Sheldon Jackson,unresolved
21,Vaibhav Arora ,"20,00,000",Bowler , Kolkata Knight Riders,7c3b3b78,VG Arora,surname_initials_matching
22,Nathan Coulter-Nile ,"5,00,00,000",Bowler , Mumbai Indians,56ab442f,NM Coulter-Nile,fuzzy_string_matching
23,Adam Milne ,"3,20,00,000",Bowler , Mumbai Indians,eaa918a8,D Milne,fuzzy_string_matching
24,Piyush Chawla ,"2,40,00,000",Bowler , Mumbai Indians,98ae73b1,PP Chawla,surname_initials_matching
25,James Neesham ,"50,00,000",All-Rounder , Mumbai Indians,9219eff0,JDS Neesham,fuzzy_string_matching
26,Yudhvir Charak ,"20,00,000",All-Rounder , Mumbai Indians,UNRESOLVED,Yudhvir Charak,unresolved
27,Marco Jansen ,"20,00,000",All-Rounder , Mumbai Indians,UNRESOLVED,Marco Jansen,unresolved
28,Arjun Tendulkar ," 20,00,000",All-Rounder , Mumbai Indians,44aac2f0,Arjun Tendulkar,exact_match
29,Jhye Richardson ,"14,00,00,000",Bowler , Punjab Kings,a5901a94,J Richardson,fuzzy_string_matching
30,Riley Meredith ,"8,00,00,000",Bowler , Punjab Kings,64775749,RP Meredith,fuzzy_string_matching
31,Shahrukh Khan ,"5,25,00,000",All-Rounder , Punjab Kings,7dcb9bc9,M Shahrukh Khan,fuzzy_string_matching
32,Moises Henriques ,"4,20,00,000",All-Rounder , Punjab Kings,32198ae0,MC Henriques,fuzzy_string_matching
33,Dawid Malan ,"1,50,00,000",All-Rounder , Punjab Kings,UNRESOLVED,Dawid Malan,unresolved
34,Fabian Allen ,"75,00,000", All-Rounder , Punjab Kings,UNRESOLVED,Fabian Allen,unresolved
35,Jalaj Saxena ,"30,00,000",All-Rounder , Punjab Kings,249abedf,Jalaj S Saxena,fuzzy_string_matching
