Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Kedar Jadhav,"7,80,00,000",All-Rounder, Chennai Super Kings,6c18c062,KA Jadhav,fuzzy_string_matching
1,Dwayne Bravo,"6,40,00,000",All-Rounder, Chennai Super Kings,UNRESOLVED,Dwayne Bravo,unresolved
2,Karn Sharma,"5,00,00,000",Bowler, Chennai Super Kings,1ba16d18,Tarun Sharma,fuzzy_string_matching
3,Shane Watson,"4,00,00,000",All-Rounder, Chennai Super Kings,4329fbb5,SR Watson,surname_initials_matching
4,Shardul Narendra Thakur,"2,60,00,000",Bowler, Chennai Super Kings,UNRESOLVED,Shardul Narendra Thakur,unresolved
5,Ambati Rayudu,"2,20,00,000",Wicket Keeper, Chennai Super Kings,70d205c9,AT Rayudu,fuzzy_string_matching
6,Murali Vijay,"2,00,00,000",Batsman, Chennai Super Kings,4b57e452,M Vijay,surname_initials_matching
7,Harbhajan Singh,"2,00,00,000",Bowler, Chennai Super Kings,8b5b6769,Harbhajan Singh,exact_match
8,Faf Du Plessis,"1,60,00,000",Batsman, Chennai Super Kings,3355b542,F du Plessis,fuzzy_string_matching
9,Mark Wood,"1,50,00,000",Bowler, Chennai Super Kings,8d92a2c3,MA Wood,fuzzy_string_matching
10,Sam Billings,"1,00,00,000",Wicket Keeper, Chennai Super Kings,c16d4035,SW Billings,fuzzy_string_matching
11,Imran Tahir,"1,00,00,000",Bowler, Chennai Super Kings,acee4cc4,Imran Tahir,exact_match
12,Deepak Chahar,"80,00,000",All-Rounder, Chennai Super Kings,23eeb873,DL Chahar,surname_initials_matching
13,Mitchell Santner,"50,00,000",All-Rounder, Chennai Super Kings,e4a0deae,MJ Santner,surname_initials_matching
14,Lungisani Ngidi,"50,00,000",Bowler, Chennai Super Kings,f834dcfc,L Ngidi,surname_initials_matching
15,Asif K M,"40,00,000",Bowler, Chennai Super Kings,UNRESOLVED,Asif K M,unresolved
16,N Jagadeesan,"20,00,000",Wicket Keeper, Chennai Super Kings,bd54eef5,N Jagadeesan,exact_match
17,Kanishk Seth,"20,00,000",All-Rounder, Chennai Super Kings,98f27d4b,Kanishk Seth,exact_match
18,Monu Singh,"20,00,000",Bowler, Chennai Super Kings,8a98675d,Sonu Singh,fuzzy_string_matching
19,Dhruv Shorey,"20,00,000",All-Rounder, Chennai Super Kings,faa7365d,DR Shorey,fuzzy_string_matching
20,Kshitiz Sharma,"20,00,000",All-Rounder, Chennai Super Kings,c910e89d,Kshitiz Sharma,exact_match
21,Chaitanya Bishnoi,"20,00,000",All-Rounder, Chennai Super Kings,e793a8ed,Chaitanya Bishnoi,exact_match
22,Glenn Maxwell,"9,00,00,000",All-Rounder,Delhi Daredevils,b681e71e,GJ Maxwell,surname_initials_matching
23,Kagiso Rabada,"4,20,00,000",Bowler,Delhi Daredevils,e62dd25d,K Rabada,surname_initials_matching
24,Amit Mishra,"4,00,00,000",Bowler,Delhi Daredevils,1d8388eb,Amit Mishra,fuzzy_string_matching
25,Shahbaz Nadeem,"3,20,00,000",Bowler,Delhi Daredevils,9d80c5e1,S Nadeem,surname_initials_matching
26,Vijay Shankar,"3,20,00,000",All-Rounder,Delhi Daredevils,0994d0ae,V Shankar,surname_initials_matching
27,Rahul Tewatia,"3,00,00,000",All-Rounder,Delhi Daredevils,39a2dfa8,R Tewatia,surname_initials_matching
28,Mohammad Shami,"3,00,00,000",Bowler,Delhi Daredevils,68ddabdb,Mohammad Sami,fuzzy_string_matching
29,Gautam Gambhir,"2,80,00,000",Batsman,Delhi Daredevils,242a9261,Gaurav Gambhir,fuzzy_string_matching
30,Trent Boult,"2,20,00,000",Bowler,Delhi Daredevils,a818c1be,TA Boult,surname_initials_matching
31,Colin Munro,"1,90,00,000",All-Rounder,Delhi Daredevils,af2c687b,C Munro,surname_initials_matching
32,Daniel Christian,"1,50,00,000",All-Rounder,Delhi Daredevils,UNRESOLVED,Daniel Christian,unresolved
33,Jason Roy,"1,50,00,000",Batsman,Delhi Daredevils,UNRESOLVED,Jason Roy,unresolved
34,Naman Ojha,"1,40,00,000",Wicket Keeper,Delhi Daredevils,890946a0,NV Ojha,surname_initials_matching
35,Prithvi Shaw,"1,20,00,000",Batsman,Delhi Daredevils,UNRESOLVED,Prithvi Shaw,unresolved
36,Gurkeerat Singh Mann,"75,00,000",All-Rounder,Delhi Daredevils,6eb146d2,Gurkeerat Singh,fuzzy_string_matching
37,Avesh Khan,"70,00,000",Bowler,Delhi Daredevils,eef2536f,Avesh Khan,exact_match
38,Abhishek Sharma,"55,00,000",All-Rounder,Delhi Daredevils,f29185a1,Abhishek Sharma,exact_match
39,Jayant Yadav,"50,00,000",All-Rounder,Delhi Daredevils,c6355538,Mayan Yadav,fuzzy_string_matching
40,Harshal Patel,"20,00,000",All-Rounder,Delhi Daredevils,UNRESOLVED,Harshal Patel,unresolved
41,Manjot Kalra,"20,00,000",Batsman,Delhi Daredevils,f047e7ff,Manjot Kalra,exact_match
42,Sandeep Lamichhane,"20,00,000",Bowler,Delhi Daredevils,b410bd3d,S Lamichhane,fuzzy_string_matching
43,Sayan Ghosh,"20,00,000",Bowler,Delhi Daredevils,d4b8ea98,Sayan Ghosh,exact_match
44,KL Rahul,"11,00,00,000",Batsman,Kings XI Punjab,b17e2f24,KL Rahul,exact_match
