Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Piyush Chawla,"6,75,00,000",Bowler, Chennai Super Kings,98ae73b1,PP Chawla,surname_initials_matching
1,Sam Curran,"5,50,00,000",All-Rounder, Chennai Super Kings,e94915e6,SM Curran,fuzzy_string_matching
2,Josh Hazlewood,"2,00,00,000",Bowler, Chennai Super Kings,03806cf8,JR Hazlewood,fuzzy_string_matching
3,R. Sai Kishore,"20,00,000",Bowler, Chennai Super Kings,c7a995d3,R Sai Kishore,fuzzy_string_matching
4,Shimron Hetmyer,"7,75,00,000",Batsman, Delhi Capitals,48a1d7b7,SO Hetmyer,fuzzy_string_matching
5,Marcus Stoinis,"4,80,00,000",All-Rounder, Delhi Capitals,d9273ee7,MP Stoinis,surname_initials_matching
6,Alex Carey,"2,40,00,000",Wicket Keeper, Delhi Capitals,69d03465,AT Carey,surname_initials_matching
7,Jason Roy,"1,50,00,000",Batsman, Delhi Capitals,UNRESOLVED,Jason Roy,unresolved
8,Chris Woakes,"1,50,00,000",All-Rounder, Delhi Capitals,4c5d73db,CR Woakes,fuzzy_string_matching
9,Mohit Sharma,"50,00,000",Bowler, Delhi Capitals,cd9f6505,Mohit Sharma,exact_match
10,Tushar Deshpande,"20,00,000",Bowler, Delhi Capitals,46a9bea1,TU Deshpande,fuzzy_string_matching
11,Lalit Yadav,"20,00,000",All-Rounder, Delhi Capitals,ad427b5c,Lalit Yadav,exact_match
12,Glenn Maxwell,"10,75,00,000",All-Rounder, Kings XI Punjab,b681e71e,GJ Maxwell,surname_initials_matching
13,Sheldon Cottrell,"8,50,00,000",Bowler, Kings XI Punjab,a1d053dd,SS Cottrell,surname_initials_matching
14,Chris Jordan,"3,00,00,000",All-Rounder, Kings XI Punjab,ffe699c0,CJ Jordan,surname_initials_matching
15,Ravi Bishnoi,"2,00,00,000",Bowler, Kings XI Punjab,df064e1a,Ravi Bishnoi,exact_match
16,Prabhsimran Singh,"55,00,000",Wicket Keeper, Kings XI Punjab,9418198b,P Simran Singh,fuzzy_string_matching
17,Deepak Hooda,"50,00,000",All-Rounder, Kings XI Punjab,73ad96ed,DJ Hooda,surname_initials_matching
18,James Neesham,"50,00,000",All-Rounder, Kings XI Punjab,9219eff0,JDS Neesham,fuzzy_string_matching
19,Tajinder Dhillon,"20,00,000",All-Rounder, Kings XI Punjab,225412c5,TR Dhillon,surname_initials_matching
20,Ishan Porel,"20,00,000",Bowler, Kings XI Punjab,fdf7491e,IC Porel,surname_initials_matching
21,Pat Cummins,"15,50,00,000",All-Rounder, Kolkata Knight Riders,ded9240e,PJ Cummins,fuzzy_string_matching
22,Eoin Morgan,"5,25,00,000",Batsman, Kolkata Knight Riders,a9b7e3e6,O Morgan,fuzzy_string_matching
23,Varun Chakaravarthy,"4,00,00,000",All-Rounder, Kolkata Knight Riders,UNRESOLVED,Varun Chakaravarthy,unresolved
24,Tom Banton,"1,00,00,000",Batsman, Kolkata Knight Riders,25f7b7d6,T Banton,fuzzy_string_matching
25,Rahul Tripathi,"60,00,000",Batsman, Kolkata Knight Riders,65ff7036,Anshul Tripathi,fuzzy_string_matching
26,Chris Green,"20,00,000",All-Rounder, Kolkata Knight Riders,UNRESOLVED,Chris Green,unresolved
27,Nikhil Shankar Naik,"20,00,000",Wicket Keeper, Kolkata Knight Riders,aedc3b7c,NS Naik,surname_initials_matching
28,Pravin Tambe,"20,00,000",Bowler, Kolkata Knight Riders,6aed7e79,PV Tambe,fuzzy_string_matching
29,M Siddharth,"20,00,000",Bowler, Kolkata Knight Riders,cf0ccafa,M Siddharth,exact_match
30,Nathan Coulter-Nile,"8,00,00,000",Bowler, Mumbai Indians,56ab442f,NM Coulter-Nile,fuzzy_string_matching
31,Chris Lynn,"2,00,00,000",Batsman, Mumbai Indians,45eda7c8,CA Lynn,surname_initials_matching
32,Saurabh Tiwary,"50,00,000",Batsman, Mumbai Indians,709b0bac,SS Tiwary,surname_initials_matching
