Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
33,Digvijay Deshmukh,"20,00,000",All-Rounder, Mumbai Indians,ddc7a53d,DR Deshmukh,surname_initials_matching
34,Prince Balwant Rai Singh,"20,00,000",All-Rounder, Mumbai Indians,UNRESOLVED,Prince Balwant Rai Singh,unresolved
35,Mohsin Khan,"20,00,000",Bowler, Mumbai Indians,2669d6b7,Mohsin Khan,fuzzy_string_matching
36,Robin Uthappa,"3,00,00,000",Batsman, Rajasthan Royals,1c17e270,RV Uthappa,fuzzy_string_matching
37,Jaydev Unadkat,"3,00,00,000",Bowler, Rajasthan Royals,1e66c162,JD Unadkat,fuzzy_string_matching
38,Yashasvi Jaiswal,"2,40,00,000",All-Rounder, Rajasthan Royals,6c19c6e5,YBK Jaiswal,surname_initials_matching
39,Kartik Tyagi,"1,30,00,000",Bowler, Rajasthan Royals,5d2eea49,Kartik Tyagi,exact_match
40,Tom Curran,"1,00,00,000",All-Rounder, Rajasthan Royals,e86754b2,TK Curran,fuzzy_string_matching
41,Andrew Tye,"1,00,00,000",Bowler, Rajasthan Royals,7c7d63a2,AJ Tye,surname_initials_matching
42,Anuj Rawat,"80,00,000",Wicket Keeper, Rajasthan Royals,c8f5f961,Anuj Rawat,exact_match
43,David Miller,"75,00,000",Batsman, Rajasthan Royals,fc0b4157,David Mills,fuzzy_string_matching
44,Oshane Thomas ,"50,00,000",Bowler, Rajasthan Royals,UNRESOLVED,Oshane Thomas,unresolved
45,Anirudha Ashok Joshi,"20,00,000",All-Rounder, Rajasthan Royals,40c1eeeb,Aniruddha Joshi,fuzzy_string_matching
46,Akash Singh,"20,00,000",Bowler, Rajasthan Royals,b483905d,Akash Singh,exact_match
47,Christopher Morris,"10,00,00,000",All-Rounder, Royal Challengers Bengaluru,UNRESOLVED,Christopher Morris,unresolved
48,Aaron Finch,"4,40,00,000",Batsman, Royal Challengers Bengaluru,UNRESOLVED,Aaron Finch,unresolved
49,Kane Richardson,"4,00,00,000",Bowler, Royal Challengers Bengaluru,f308f629,A Richardson,fuzzy_string_matching
50,Dale Steyn,"2,00,00,000",Bowler, Royal Challengers Bengaluru,14baca9f,A Steyn,fuzzy_string_matching
51,Isuru Udana,"50,00,000",All-Rounder, Royal Challengers Bengaluru,ac5ae4af,I Udana,surname_initials_matching
52,Shahbaz Ahamad,"20,00,000",Wicket Keeper, Royal Challengers Bengaluru,f9e6e7ef,Shahbaz Ahmed,fuzzy_string_matching
53,Joshua Philippe,"20,00,000",Wicket Keeper, Royal Challengers Bengaluru,39086549,JR Philippe,surname_initials_matching
54,Pavan Deshpande,"20,00,000",All-Rounder, Royal Challengers Bengaluru,436b8481,Pavan Deshpande,exact_match
55,Mitchell Marsh,"2,00,00,000",All-Rounder, Sunrisers Hyderabad,3d8feaf8,MR Marsh,surname_initials_matching
56,Priyam Garg,"1,90,00,000",Batsman, Sunrisers Hyderabad,bb965e9a,PK Garg,surname_initials_matching
57,Virat Singh,"1,90,00,000",Batsman, Sunrisers Hyderabad,26d76ad9,Virat Singh,exact_match
58,Fabian Allen,"50,00,000",All-Rounder, Sunrisers Hyderabad,UNRESOLVED,Fabian Allen,unresolved
59,Sandeep Bavanaka,"20,00,000",All-Rounder, Sunrisers Hyderabad,UNRESOLVED,Sandeep Bavanaka,unresolved
60,Sanjay Yadav,"20,00,000",All-Rounder, Sunrisers Hyderabad,33ffc3dd,R Sanjay Yadav,fuzzy_string_matching
61,Abdul Samad,"20,00,000",All-Rounder, Sunrisers Hyderabad,8e514b4c,Abdul Samad,fuzzy_string_matching
