Unnamed: 0,Name,Nationality,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Avanish Rao Aravelly ,Indian ,"20,00,000 ",Wicket-Keeper , Chennai Super Kings,UNRESOLVED,Avanish Rao Aravelly,unresolved
1,Mustafizur Rahman ,Overseas ,"2,00,00,000 ",Bowler , Chennai Super Kings,0a8fce53,Mustafizur Rahman,exact_match
2,Daryl Mitchell ,Overseas ,"14,00,00,000 ",All-Rounder , Chennai Super Kings,3029417f,A Mitchell,fuzzy_string_matching
3,Sameer Rizvi ,Indian ,"8,40,00,000 ",Batter , Chennai Super Kings,f89d3b11,Sameer Rizvi,exact_match
4,Rachin Ravindra ,Overseas ,"1,80,00,000 ",All-Rounder , Chennai Super Kings,ba5e1069,R Ravindra,surname_initials_matching
5,Shardul Thakur ,Indian ,"4,00,00,000 ",All-Rounder , Chennai Super Kings,UNRESOLVED,Shardul Thakur,unresolved
6,Ricky Bhui ,Indian ,"20,00,000 ",Wicket-Keeper , Delhi Capitals,b63e358a,RK Bhui,fuzzy_string_matching
7,Sumit Kumar ,Indian ,"1,00,00,000 ",All-Rounder , Delhi Capitals,8998a68f,Sumit Kumar,fuzzy_string_matching
8,Swastik Chhikara ,Indian ,"20,00,000 ",Batter , Delhi Capitals,UNRESOLVED,Swastik Chhikara,unresolved
9,Jhye Richardson ,Overseas ,"5,00,00,000 ",Bowler , Delhi Capitals,a5901a94,J Richardson,fuzzy_string_matching
10,Shai Hope ,Overseas ,"75,00,000 ",Wicket-Keeper , Delhi Capitals,1fc6ef83,SD Hope,surname_initials_matching
11,Rasikh Dar ,Indian ,"20,00,000 ",Bowler , Delhi Capitals,b82354b3,Raza Ali Dar,surname_initials_matching
12,Kumar Kushagra ,Indian ,"7,20,00,000 ",Wicket-Keeper , Delhi Capitals,57ca01b3,Kumar Kushagra,exact_match
13,Tristan Stubbs ,Overseas ,"50,00,000 ",Wicket-Keeper , Delhi Capitals,85b3fab2,T Stubbs,surname_initials_matching
14,Harry Brook ,Overseas ,"4,00,00,000 ",Batter , Delhi Capitals,4ae1755b,HC Brook,surname_initials_matching
15,Kartik Tyagi ,Indian ,"60,00,000 ",Bowler , Gujarat Titans,5d2eea49,Kartik Tyagi,exact_match
16,Spencer Johnson ,Overseas ,"10,00,00,000 ",Bowler , Gujarat Titans,UNRESOLVED,Spencer Johnson,unresolved
17,Manav Suthar ,Indian ,"20,00,000 ",Bowler , Gujarat Titans,025c4400,MJ Suthar,surname_initials_matching
18,Robin Minz ,Indian ,"3,60,00,000 ",Wicket-Keeper , Gujarat Titans,bafd0398,R Minz,surname_initials_matching
19,Sushant Mishra ,Indian ,"2,20,00,000 ",Bowler , Gujarat Titans,c562ac6d,Shantanu Mishra,fuzzy_string_matching
20,Azmatullah Omarzai ,Overseas ,"50,00,000 ",All-Rounder , Gujarat Titans,8f6dd463,Azmatullah Omarzai,exact_match
21,Shahrukh Khan ,Indian ,"7,40,00,000 ",All-Rounder , Gujarat Titans,7dcb9bc9,M Shahrukh Khan,fuzzy_string_matching
22,Umesh Yadav ,Indian ,"5,80,00,000 ",Bowler , Gujarat Titans,UNRESOLVED,Umesh Yadav,unresolved
23,Mujeeb Rahman ,Overseas ,"2,00,00,000 ",Bowler , Kolkata Knight Riders,7d92277a,Mujeeb Ur Rahman,fuzzy_string_matching
24,Manish Pandey ,Indian ,"50,00,000 ",Batter , Kolkata Knight Riders,93b4fc78,MK Pandey,surname_initials_matching
25,Gus Atkinson ,Overseas ,"1,00,00,000 ",Bowler , Kolkata Knight Riders,b6bdce2e,DS Atkinson,fuzzy_string_matching
26,Angkrish Raghuvanshi ,Indian ,"20,00,000 ",Batter , Kolkata Knight Riders,d7017798,A Raghuvanshi,surname_initials_matching
27,Mitchell  Starc ,Overseas ,"24,75,00,000 ",Bowler , Kolkata Knight Riders,3fb19989,MA Starc,surname_initials_matching
28,Sherfane Rutherford ,Overseas ,"1,50,00,000 ",Batter , Kolkata Knight Riders,d014d5ac,SE Rutherford,surname_initials_matching
29,Ramandeep  Singh ,Indian ,"20,00,000 ",All-Rounder , Kolkata Knight Riders,be24ead0,Ramandeep Singh,fuzzy_string_matching
30,K.S. Bharat ,Indian ,"50,00,000 ",Wicket-Keeper , Kolkata Knight Riders,44a89551,KS Bharat,fuzzy_string_matching
31,Chetan Sakariya ,Indian ,"50,00,000 ",Bowler , Kolkata Knight Riders,2cdce1be,C Sakariya,surname_initials_matching
32,Sakib Hussain ,Indian ,"20,00,000 ",Bowler , Kolkata Knight Riders,280fff14,Sakib Hussain,exact_match
33,Ashton Turner ,Overseas ,"1,00,00,000 ",Batter , Lucknow Super Giants,UNRESOLVED,Ashton Turner,unresolved
34,David Willey  ,Overseas ,"2,00,00,000 ",All-Rounder , Lucknow Super Giants,7f048519,DJ Willey,surname_initials_matching
35,M. Siddharth ,Indian ,"2,40,00,000 ",Bowler , Lucknow Super Giants,cf0ccafa,M Siddharth,fuzzy_string_matching
36,Shivam  Mavi ,Indian ,"6,40,00,000 ",Bowler , Lucknow Super Giants,c38d3503,Shivam Mavi,fuzzy_string_matching
37,Arshin Kulkarni ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants,UNRESOLVED,Arshin Kulkarni,unresolved
38,Mohd. Arshad Khan ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants,UNRESOLVED,Mohd. Arshad Khan,unresolved
39,Dilshan Madushanka ,Overseas ,"4,60,00,000 ",Bowler , Mumbai Indians,d5464b57,Shehan Madusanka,fuzzy_string_matching
40,Shreyas Gopal ,Indian ,"20,00,000 ",Bowler , Mumbai Indians,7a8bd078,S Gopal,surname_initials_matching
41,Shivalik Sharma ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians,6f49cc6e,Shivam Sharma,fuzzy_string_matching
42,Anshul Kamboj ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians,fcc21ace,A Kamboj,surname_initials_matching
43,Mohammad Nabi ,Overseas ,"1,50,00,000 ",All-Rounder , Mumbai Indians,62af8546,Mohammad Nabi,exact_match
44,Naman Dhir ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians,fffa744b,Naman Dhir,exact_match
45,Nuwan Thushara ,Overseas ,"4,80,00,000 ",Bowler , Mumbai Indians,ee1b6c27,N Thushara,fuzzy_string_matching
46,Gerald Coetzee ,Overseas ,"5,00,00,000 ",All-Rounder , Mumbai Indians,3204c99f,G Coetzee,fuzzy_string_matching
47,Chris Woakes  ,Overseas ,"4,20,00,000 ",All-Rounder , Punjab Kings,4c5d73db,CR Woakes,fuzzy_string_matching
48,Tanay Thyagarajann ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings,f1809c03,Tanay Thyagarajan,fuzzy_string_matching
49,Vishwanath Pratap Singh ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings,UNRESOLVED,Vishwanath Pratap Singh,unresolved
50,Ashutosh Sharma ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings,84d9c311,Ashutosh Sharma,exact_match
51,Shashank  Singh ,Indian ,"20,00,000 ",Batter , Punjab Kings,26989d80,Shashank Singh,fuzzy_string_matching
52,Rilee Rossouw ,Overseas ,"8,00,00,000 ",Batter , Punjab Kings,cad00a4d,RR Rossouw,surname_initials_matching
53,Prince Choudhary ,Indian ,"20,00,000 ",Bowler , Punjab Kings,dd7cc825,P Choudhary,surname_initials_matching
54,Harshal Patel ,Indian ,"11,75,00,000 ",All-Rounder , Punjab Kings,UNRESOLVED,Harshal Patel,unresolved
55,Shubham Dubey ,Indian ,"5,80,00,000 ",Batter , Rajasthan Royals,58588e5a,Shubham Chaubey,fuzzy_string_matching
56,Rovman Powell ,Overseas ,"7,40,00,000 ",Batter , Rajasthan Royals,UNRESOLVED,Rovman Powell,unresolved
57,Abid Mushtaq ,Indian ,"20,00,000 ",All-Rounder , Rajasthan Royals,f9979b69,Abid Mushtaq,fuzzy_string_matching
58,Nandre Burger ,Overseas ,"50,00,000 ",Bowler , Rajasthan Royals,465aa633,N Burger,surname_initials_matching
59,Tom Kohler-Cadmore ,Overseas ,"40,00,000 ",Wicket-Keeper , Rajasthan Royals,f836b33d,T Kohler-Cadmore,fuzzy_string_matching
60,Lockie Ferguson ,Overseas ,"2,00,00,000 ",Bowler , Royal Challengers Bengaluru,2f9d0389,LH Ferguson,surname_initials_matching
61,Tom Curran ,Overseas ,"1,50,00,000 ",All-Rounder , Royal Challengers Bengaluru,e86754b2,TK Curran,fuzzy_string_matching
62,Saurav Chuahan ,Indian ,"20,00,000 ",Batter , Royal Challengers Bengaluru,9e7225b0,Saurav Chauhan,fuzzy_string_matching
63,Alzarri Joseph ,Overseas ,"11,50,00,000 ",Bowler , Royal Challengers Bengaluru,b0946605,AS Joseph,surname_initials_matching
64,Swapnil Singh ,Indian ,"20,00,000 ",All-Rounder , Royal Challengers Bengaluru,983f2f61,Swapnil Singh,exact_match
65,Yash  Dayal ,Indian ,"5,00,00,000 ",Bowler , Royal Challengers Bengaluru,7210d461,Yash Dayal,fuzzy_string_matching
66,Jhathavedh Subramanyan ,Indian ,"20,00,000 ",Bowler , Sunrisers Hyderabad,eb19d010,J Subramanyan,surname_initials_matching
67,Akash Singh ,Indian ,"20,00,000 ",Bowler , Sunrisers Hyderabad,b483905d,Akash Singh,exact_match
68,Jaydev Unadkat ,Indian ,"1,60,00,000 ",Bowler , Sunrisers Hyderabad,1e66c162,JD Unadkat,fuzzy_string_matching
69,Wanindu Hasaranga ,Overseas ,"1,50,00,000 ",All-Rounder , Sunrisers Hyderabad,UNRESOLVED,Wanindu Hasaranga,unresolved
70,Pat Cummins ,Overseas ,"20,50,00,000 ",All-Rounder , Sunrisers Hyderabad,ded9240e,PJ Cummins,fuzzy_string_matching
71,Travis Head ,Overseas ,"6,80,00,000 ",Batter , Sunrisers Hyderabad,12b610c2,TM Head,surname_initials_matching
