Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Mohit Sharma,"5,00,00,000",Bowler, Chennai Super Kings,cd9f6505,Mohit Sharma,exact_match
1,Ruturaj Gaikwad ,"20,00,000",Batsman, Chennai Super Kings,45a43fe2,RD Gaikwad,surname_initials_matching
2,Colin Ingram,"6,40,00,000",Batsman, Delhi Capitals,c995d726,CA Ingram,surname_initials_matching
3,Axar Rajesh Patel,"5,00,00,000",All-Rounder, Delhi Capitals,UNRESOLVED,Axar Rajesh Patel,unresolved
4,Hanuma Vihari,"2,00,00,000",Batsman, Delhi Capitals,UNRESOLVED,Hanuma Vihari,unresolved
5,Sherfane Rutherford,"2,00,00,000",All-Rounder, Delhi Capitals,d014d5ac,SE Rutherford,surname_initials_matching
6,Ishant Sharma,"1,10,00,000",Bowler, Delhi Capitals,ae85a996,Siddhant Sharma,fuzzy_string_matching
7,Keemo Paul,"50,00,000",All-Rounder, Delhi Capitals,75224f22,KMA Paul,surname_initials_matching
8,Jalaj Saxena,"20,00,000",All-Rounder, Delhi Capitals,249abedf,Jalaj S Saxena,fuzzy_string_matching
9,Ankush Bains,"20,00,000",Wicket Keeper, Delhi Capitals,cb932841,AKS Bains,fuzzy_string_matching
10,Nathu Singh,"20,00,000",Bowler, Delhi Capitals,UNRESOLVED,Nathu Singh,unresolved
11,Bandaru Ayyappa,"20,00,000",Bowler, Delhi Capitals,cb4f31e2,Bandaru Ayyappa,exact_match
12,Varun Chakaravarthy,"8,40,00,000",All-Rounder,Kings XI Punjab,UNRESOLVED,Varun Chakaravarthy,unresolved
13,Sam Curran,"7,20,00,000",All-Rounder,Kings XI Punjab,e94915e6,SM Curran,fuzzy_string_matching
14,Mohammad Shami,"4,80,00,000",Bowler,Kings XI Punjab,68ddabdb,Mohammad Sami,fuzzy_string_matching
15,Prabhsimran Singh,"4,80,00,000",Wicket Keeper,Kings XI Punjab,9418198b,P Simran Singh,fuzzy_string_matching
16,Nicolas Pooran,"4,20,00,000",Wicket Keeper,Kings XI Punjab,3241e3fd,N Pooran,surname_initials_matching
17,Moises Henriques,"1,00,00,000",All-Rounder,Kings XI Punjab,32198ae0,MC Henriques,fuzzy_string_matching
18,Hardus Viljoen,"75,00,000",Bowler,Kings XI Punjab,7a80e2a5,H Viljoen,surname_initials_matching
19,Darshan Nalkande,"30,00,000",All-Rounder,Kings XI Punjab,cd8d2859,DG Nalkande,surname_initials_matching
