canonical_name,primary_role,nationality,total_matches_played,latest_sold_price,predicted_valuation,valuation_diff,value_margin_ratio
Atharva Taide,All-Rounder,Indian,35,3000000.0,8996025.31,5996025.31,3.0
IC Porel,Bowler,Indian,22,2500000.0,8417032.02,5917032.02,3.37
R Sanjay Yadav,All-Rounder,Indian,28,5000000.0,10914011.55,5914011.55,2.18
KM Asif,Bowler,Indian,25,3000000.0,8880721.9,5880721.9,2.96
P Suyal,Bowler,,12,1000000.0,6871399.09,5871399.09,6.87
AA Herwadkar,All-Rounder,,17,1000000.0,6866952.24,5866952.24,6.87
CM Gautam,Wicket Keeper,,25,2000000.0,7859419.46,5859419.46,3.93
Rahul Sharma,Bowler,,1,3000000.0,8824198.37,5824198.37,2.94
LUVNITH SISODIA,Wicket Keeper,Indian,7,3000000.0,8730275.68,5730275.68,2.91
Aryan Juyal,Wicket Keeper,Indian,7,3000000.0,8730275.68,5730275.68,2.91
M Siddharth,Bowler,Indian,14,7500000.0,13180384.26,5680384.26,1.76
Jaskaran Singh,Bowler,,30,1000000.0,6653609.08,5653609.08,6.65
Arjun Tendulkar,All-Rounder,Indian,13,3000000.0,8595562.15,5595562.15,2.87
V Suryavanshi,Unknown,Indian,23,11000000.0,16591682.53,5591682.53,1.51
Shubman Gill,Batsman,,152,18000000.0,23556350.95,5556350.95,1.31
TR Dhillon,All-Rounder,,2,2000000.0,7548432.13,5548432.13,3.77
N Thushara,Bowler,Overseas,18,16000000.0,21539829.09,5539829.09,1.35
Mujeeb Ur Rahman,Bowler,Overseas,134,20000000.0,25510255.32,5510255.32,1.28
C Munro,All-Rounder,,229,19000000.0,24369322.21,5369322.21,1.28
Writtick Chatterjee,All-Rounder,Indian,20,2000000.0,7330642.12,5330642.12,3.67
Mehdi Hassan,All-Rounder,,20,2000000.0,7330642.12,5330642.12,3.67
Mohit Sharma,Bowler,Indian,0,22000000.0,27322277.04,5322277.04,1.24
TS Mills,Bowler,Overseas,81,15000000.0,20318330.06,5318330.06,1.35
Brian Taylor,Wicket Keeper,,0,3000000.0,8301398.84,5301398.84,2.77
N Jagadeesan,Wicket Keeper,Indian,47,9000000.0,14259741.2,5259741.2,1.58
IR Jaggi,Batsman,,27,2000000.0,7235868.58,5235868.58,3.62
CA Pujara,Batsman,,46,5000000.0,10172571.15,5172571.15,2.03
V Tokas,Bowler,,3,1000000.0,6133395.66,5133395.66,6.13
Subhransu Senapati,Batsman,Indian,22,2000000.0,7116118.32,5116118.32,3.56
FH Edwards,Bowler,,45,210000.0,5319062.97,5109062.97,25.33
Utkarsh Singh,All-Rounder,,18,2000000.0,7021515.53,5021515.53,3.51
